297435	Yaylalı	Yaylali	36.51444	32.10591
303738	"Oba Çayı"	"Oba Cayi"	36.5365	32.03252
305133	Kuzyaka	Kuzyaka	36.54919	32.1332
307289	Kızılcaşehir	Kizilcasehir	36.56488	32.09106
316671	"Dildarde Burnu"	"Dildarde Burnu"	36.52735	31.98585
322575	Recepli	Recepli	36.51795	32.11506
323720	"Akçatı"	Akcati	36.57075	32.13954
324189	"Alanya Limanı"	"Alanya Limani"	36.53679	32.00178
324190	Alanya	Alanya	36.54375	31.99982
6490360	"Gardena Hotel"	"Gardena Hotel"	36.5458	31.985
6490699	"My Aytap Hotel"	"My Aytap Hotel"	36.5414	32.0212
6494239	"Kleopatra Princess Hotel"	"Kleopatra Princess Hotel"	36.54	31.99
6494418	"Kleopatra Royal Palm Hotel"	"Kleopatra Royal Palm Hotel"	36.54	31.991
6495277	"Incekum Beach Resort Hotel"	"Incekum Beach Resort Hotel"	36.5597	32.0014
6497009	"Gunes House & Suntime Hotel"	"Gunes House & Suntime Hotel"	36.56	32.002
6498281	"Alaiye Kleopatra"	"Alaiye Kleopatra"	36.56	32.002
6506934	"Allstar Sunshine Hotel"	"ALLSTAR SUNSHINE HOTEL"	36.55	32.0166
6522719	"Kleopatra Micador Hotel"	"KLEOPATRA MICADOR HOTEL"	36.55	32.0166
7732185	Alanya	Alanya	36.56173	32.02309
8068979	"Dim Mağarası"	"Dim Magarasi"	36.53993	32.09995
8068981	Tosmur	Tosmur	36.53201	32.05287
8068982	Oba	Oba	36.55013	32.0596
8068983	Karakolcalı	Karakolcali	36.53722	32.07568
8068984	Basırlı	Basirli	36.56393	32.0677
8068986	"Çıplaklı"	Ciplakli	36.56457	32.04949
8069036	Cikcilli	Cikcilli	36.54967	32.03672
8069040	Cumhuriyet	Cumhuriyet	36.54001	32.02952
8069041	"Alanya Devlet Hastanesi"	"Alanya Devlet Hastanesi"	36.54633	32.01973
8069042	"Kleopatra Plajı"	"Kleopatra Plaji"	36.55123	31.97628
8069043	"Güller Pınarı"	"Guller Pinari"	36.54686	32.01098
8069044	"Kumsal Halk Plajı"	"Kumsal Halk Plaji"	36.54329	32.00959
8069891	"Alanya Belediyesi"	"Alanya Belediyesi"	36.54253	32.00301
8069892	"Kızıl Kule"	"Kizil Kule"	36.53647	31.99818
8069893	"Siyyi Zeynep Türbesi"	"Siyyi Zeynep Turbesi"	36.5421	31.99636
